Index,0 [0x0][0x0],1 [0x19][0x31],2 [0x5][0x8],3 [0x3][0x1a],4 [0x3][0x1b],5 [0x3][0x1c],6 [0x3][0x1d],7 [0x4][0x18],8 [0x5][0xa],9 [0x3][0x1e],10 [0x2][0x2d],11 [0x3][0x1f],12 [0x3][0x20],13 [0x1a][0x31],14 [0x2][0x2e],15 [0x1b][0x31],16 [0x1c][0x31],17 [0x1d][0x31],18 [0x1e][0x31],19 [0x1f][0x31],20 [0x20][0x31],21 [0x19][0x32],22 [0x1a][0x32],23 [0x1b][0x32],24 [0x2][0x2f],25 [0x1c][0x32],26 [0x1d][0x32],27 [0x3][0x21],28 [0x3][0x22],29 [0x3][0x23],30 [0x1e][0x32],31 [0x3][0x24],32 [0x5][0xc],33 [0x3][0x25],34 [0x5][0xe],35 [0x5][0x10],36 [0x1f][0x32],37 [0x5][0x12],38 [0x5][0x14],39 [0x3][0x26],40 [0x2][0x30],41 [0x3][0x27],42 [0x3][0x28],43 [0x5][0x16],44 [0x7][0x4],45 [0x3][0x29],46 [0x3][0x2a],47 [0x20][0x32],48 [0x19][0x33],49 [0x3][0x2b],50 [0x1a][0x33],51 [0x1b][0x33],52 [0x1c][0x33],53 [0x1d][0x33],54 [0x1e][0x33],55 [0x1f][0x33],56 [0x20][0x33],57 [0x19][0x34],58 [0x1a][0x34],59 [0x3][0x2c],60 [0x1b][0x34],61 [0x1c][0x34]
2781,"Mean Thrash",false,405,4,0,8,24,1804,1871,0,-1,0,0,false,6,true,false,false,false,false,false,false,false,false,0,false,false,3,6,0,true,0,0,0,0,0,false,28,180,0,3,7,0,0,0,0,0,false,false,5,false,false,true,false,true,true,false,false,true,0,false,false
2782,"Fear Itself",false,405,4,0,10,24,1805,1872,0,-1,0,0,false,40,true,false,false,false,false,false,false,false,false,0,false,false,5,40,0,true,0,0,0,0,0,false,60,420,0,6,7,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2783,"Stone Skull",false,405,3,0,8,24,1208,1875,0,-1,0,0,false,6,false,false,false,true,false,false,false,false,false,0,false,false,1,0,0,true,0,0,0,0,0,false,0,360,0,3,7,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2784,"Boulder Clap",false,405,3,0,8,24,1209,1993,0,-1,0,0,false,6,true,false,false,false,false,false,false,false,false,0,false,false,3,30,0,true,0,0,0,0,0,false,25,0,0,3,7,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2785,"True Grit",false,405,3,0,8,24,1210,1994,0,-1,0,0,false,6,true,false,false,false,false,false,false,false,false,0,false,false,3,30,0,true,0,0,0,0,0,false,30,360,0,6,7,0,0,0,0,0,false,false,5,false,false,true,false,true,true,false,false,true,0,false,false
2786,"Plaincracker",false,405,3,0,8,24,1223,1995,0,-1,0,0,false,30,true,false,false,false,false,false,false,false,false,0,false,false,5,30,0,true,0,0,0,0,0,false,30,0,0,5,7,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2787,"Obliterate",false,405,3,0,8,24,1529,1530,0,-1,0,0,false,40,true,false,false,false,false,false,false,false,false,0,false,false,5,40,0,true,0,0,0,0,0,false,30,360,0,5,7,0,0,0,0,0,false,false,1,false,false,true,false,true,true,false,false,true,0,false,false
2788,"Rockslide",false,405,2,0,8,24,2580,2581,0,-1,0,0,false,45,true,false,false,false,false,false,false,false,false,0,false,false,4,40,8,true,0,0,0,0,0,false,0,360,0,5,4,0,0,0,0,0,false,false,2,false,false,true,false,true,true,false,false,true,0,false,false
2789,"Earthen Heart",false,405,2,1,34,13,2578,2579,0,-1,0,0,false,100,false,false,false,false,false,false,true,false,false,0,false,false,2,6,0,true,0,0,0,0,0,false,25,360,0,5,1,0,0,0,0,0,false,false,1,false,false,true,false,true,true,false,false,true,0,false,false
2790,"Magnetism",false,405,0,0,8,24,2786,3115,0,-1,0,0,false,10,true,false,false,false,false,false,false,false,false,0,false,false,5,40,0,true,0,0,0,0,0,false,0,360,0,0,0,0,0,0,0,0,false,false,1,false,false,true,false,true,true,false,false,true,0,false,false
2791,"Sand Breath",false,405,3,0,8,24,1264,2025,0,-1,0,0,false,6,true,false,false,false,false,false,false,false,false,0,false,false,3,6,0,true,0,0,0,0,0,false,28,0,0,6,4,0,0,0,0,0,false,false,5,false,false,true,false,true,true,false,false,true,0,false,false
2792,"Sandstorm",false,405,3,0,8,24,1265,2026,0,-1,0,0,false,6,true,false,false,false,false,false,false,false,false,0,false,false,3,6,0,true,0,0,0,0,0,false,28,0,0,6,4,0,0,0,0,0,false,false,5,false,false,true,false,true,true,false,false,true,0,false,false
2793,"Poison Breath",false,405,3,0,8,24,1266,2027,0,-1,0,0,false,6,true,false,false,false,false,false,false,false,false,0,false,false,3,6,0,true,0,0,0,0,0,false,28,0,0,6,4,0,0,0,0,0,false,false,5,false,false,true,false,true,true,false,false,true,0,false,false
2794,"Earthquake",false,405,3,0,8,24,1268,2028,0,-1,0,0,false,10,true,false,false,false,false,false,false,false,false,0,false,false,5,10,0,true,0,0,0,0,0,false,0,240,0,5,4,0,0,0,0,0,false,false,1,false,false,true,false,true,true,false,false,true,0,false,false
2795,"Sand Cyclone",false,405,2,1,8,24,1742,1875,0,-1,0,0,false,100,false,false,false,true,false,false,false,false,false,0,false,false,2,2,0,true,0,0,0,0,0,false,0,240,0,5,4,0,0,0,0,0,false,false,1,false,false,true,false,true,true,false,false,true,0,false,false
2796,"Bottomless Desert",false,405,2,1,8,24,1286,1839,0,-1,0,0,false,3,true,false,false,false,false,false,false,false,false,0,false,false,5,40,0,true,0,0,0,0,0,false,10,560,0,5,4,0,0,0,0,0,false,false,1,false,false,true,false,true,true,false,false,true,0,false,false
2797,"Sand Pillar",false,405,3,0,0,0,2687,2688,0,-1,0,0,false,100,false,false,false,false,false,false,true,false,false,0,false,false,2,6,0,true,0,0,0,0,0,false,0,240,0,5,4,0,0,0,0,0,false,false,18,false,false,true,false,true,true,false,false,true,0,false,false
2798,"Beatdown",false,405,3,0,0,0,1310,1875,0,-1,0,0,false,12,false,false,false,true,false,false,false,false,false,0,false,false,4,12,4,true,0,0,0,0,0,false,0,320,0,3,7,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2799,"Inhale",false,405,3,0,8,24,1311,1875,0,-1,0,0,false,30,true,false,false,false,false,false,false,false,false,0,false,false,3,40,0,true,0,0,0,0,0,false,0,300,0,5,7,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2800,"Moldy Sneeze",false,405,3,0,8,24,1314,2048,0,-1,0,0,false,6,true,false,false,false,false,false,false,false,false,0,false,false,3,6,0,true,0,0,0,0,0,false,0,300,0,5,7,0,0,0,0,0,false,false,4,false,false,true,false,true,true,false,false,true,0,false,false
2801,"Sickly Sneeze",false,405,3,0,8,24,1315,2049,0,-1,0,0,false,6,true,false,false,false,false,false,false,false,false,0,false,false,3,6,0,true,0,0,0,0,0,false,0,300,0,5,2,0,0,0,0,0,false,false,4,false,false,true,false,true,true,false,false,true,0,false,false
2802,"Moldy Phlegm",false,405,3,0,8,24,1726,2182,0,-1,0,0,false,100,false,false,false,false,false,false,true,false,false,0,false,false,2,6,0,true,0,0,0,0,0,false,30,320,0,5,7,0,0,0,0,0,false,false,1,false,false,true,false,true,true,false,false,true,0,false,false
2803,"Goobbue's Grief",false,405,3,0,8,24,2812,2183,0,-1,0,0,false,40,true,false,false,false,false,false,false,false,false,0,false,false,5,40,0,true,0,0,0,0,0,false,10,320,0,5,7,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2804,"Attractant",false,405,4,0,8,24,2810,1875,0,-1,0,0,false,100,false,false,false,true,false,false,false,false,false,0,false,false,1,0,0,true,0,0,0,0,0,false,0,60,0,0,0,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2805,"Sticky Tongue",false,405,3,0,8,24,1132,1875,0,-1,0,0,false,100,false,false,false,true,false,false,false,false,false,0,false,false,1,0,0,true,0,0,0,0,0,false,0,10,0,3,7,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2806,"Solidifying Secretion",false,405,4,0,8,24,1133,1875,0,-1,0,0,false,3,true,false,false,false,false,false,false,false,false,0,false,false,1,0,0,false,0,0,0,0,0,false,0,300,0,0,0,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2807,"Lethal Lap",false,405,3,0,8,24,1134,1875,0,-1,0,0,false,3,true,false,false,false,false,false,false,false,false,0,false,false,3,6,0,true,0,0,0,0,0,false,30,300,0,0,0,0,0,0,0,0,false,false,4,false,false,true,false,true,true,false,false,true,0,false,false
2808,"Lap",false,405,3,0,0,0,1493,1875,0,-1,0,0,false,6,false,false,false,true,false,false,false,false,false,0,false,false,1,0,0,true,0,0,0,0,0,false,0,300,0,3,7,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2809,"Labored Leap",false,405,3,0,8,24,1494,2112,0,-1,0,0,false,6,true,false,false,false,false,false,false,false,false,0,false,false,5,6,0,true,0,0,0,0,0,false,40,300,0,3,7,0,0,0,0,0,false,false,1,false,false,true,false,true,true,false,false,true,0,false,false
2810,"Vasoconstrictor",false,405,3,0,8,24,1495,2113,0,-1,0,0,false,100,false,false,false,false,false,false,true,false,false,0,false,false,2,6,0,true,0,0,0,0,0,false,30,300,0,5,7,0,0,0,0,0,false,false,1,false,false,true,false,true,true,false,false,true,0,false,false
2811,"Fireball",false,405,2,0,8,24,2923,2924,0,-1,0,0,false,100,false,false,false,false,false,false,true,false,false,0,false,false,2,6,0,true,0,0,0,0,0,false,0,240,0,5,1,0,0,0,0,0,false,false,1,false,false,true,false,true,true,false,false,true,0,false,false
2812,"Heat Breath",false,405,2,0,8,24,2921,2922,0,-1,0,0,false,60,true,false,false,false,false,false,false,false,false,0,false,false,3,40,0,true,0,0,0,0,0,false,30,240,0,5,1,0,0,0,0,0,false,false,4,false,false,true,false,true,true,false,false,true,0,false,false
2813,"Tail Smash",false,405,3,0,8,24,2925,2926,0,-1,0,0,false,12,true,false,false,false,false,false,false,false,false,0,false,false,3,12,0,true,0,0,0,0,0,false,28,240,0,3,7,0,0,0,0,0,false,false,4,false,false,true,false,true,true,false,false,true,0,false,false
2814,"Deadly Hold",false,405,3,0,0,0,2927,1875,0,-1,0,0,false,6,false,false,false,true,false,false,false,false,false,0,false,false,1,0,0,true,0,0,0,0,0,false,0,240,0,3,7,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2815,"Wild Charge",false,405,3,0,8,24,2928,1875,0,-1,1,0,false,100,false,false,false,true,false,false,false,false,false,0,false,true,8,0,8,true,0,0,0,0,0,false,0,0,0,3,7,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2816,"Pulverizing Pound",false,405,3,0,8,24,1281,2033,0,-1,0,0,false,6,true,false,false,false,false,false,false,false,false,0,false,false,3,6,0,true,0,0,0,0,0,false,0,320,0,3,7,0,0,0,0,0,false,false,4,false,false,true,false,true,true,false,false,true,0,false,false
2817,"Horrisonous Blast",false,405,2,0,8,24,1282,2034,0,-1,0,0,false,16,true,false,false,false,false,false,false,false,false,0,false,false,5,16,0,true,0,0,0,0,0,false,30,0,0,5,7,0,0,0,0,0,true,false,1,false,false,true,false,true,true,false,false,true,0,false,false
2818,"Seismic Rift",false,405,3,0,8,24,1283,2035,0,-1,0,0,false,12,true,false,false,false,false,false,false,false,false,0,false,false,5,12,0,true,0,0,0,0,0,false,30,0,0,5,7,0,0,0,0,0,false,false,1,false,false,true,false,true,true,false,false,true,0,false,false
2819,"Khoomii",false,405,3,0,0,0,1284,2036,0,-1,0,0,false,40,true,false,false,false,false,false,false,false,false,0,false,false,5,40,0,true,0,0,0,0,0,false,0,320,0,5,7,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2820,"Sonorous Blast",false,405,4,0,8,24,1285,2037,0,-1,0,0,false,6,true,false,false,false,false,false,false,false,false,0,false,false,3,6,0,true,0,0,0,0,0,false,0,0,0,5,7,0,0,0,0,0,false,false,4,false,false,true,false,true,true,false,false,true,0,false,false
2821,"",false,405,0,0,0,0,1094,1875,0,-1,0,0,false,100,false,false,false,true,false,false,false,false,false,0,false,false,1,0,0,true,0,0,0,0,0,false,0,320,0,0,0,0,0,0,0,0,false,false,0,false,false,false,false,false,false,false,false,true,0,false,false
2822,"Encierro",false,405,3,0,8,24,3588,3589,0,-1,1,0,false,100,false,false,false,true,false,false,false,false,false,0,false,true,8,0,8,true,0,0,0,0,0,false,0,0,0,3,7,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2823,"Devil Eye",false,405,2,0,8,24,2929,2930,0,-1,0,0,false,22,true,false,false,false,false,false,false,false,false,0,false,false,5,22,0,true,0,0,0,0,0,false,35,340,0,5,7,0,0,0,0,0,true,false,1,false,false,true,false,true,true,false,false,true,0,false,false
2824,"Petrifaction",false,405,3,0,8,25,2931,1875,0,-1,0,0,false,40,true,false,false,false,false,false,false,false,false,0,false,false,3,40,0,true,0,0,0,0,0,false,30,360,0,0,0,0,0,0,0,0,false,false,4,false,false,true,false,true,true,false,false,true,0,false,false
2825,"Bull Charge",false,405,3,0,8,24,2932,2933,0,-1,0,0,false,4,true,false,false,false,false,false,false,false,false,0,false,false,4,4,3,true,0,0,0,0,0,false,0,360,0,3,7,0,0,0,0,0,false,false,2,false,false,true,false,true,true,false,false,true,0,false,false
2826,"Cold Stare",false,405,3,0,8,24,2934,2935,0,-1,0,0,false,40,true,false,false,false,false,false,false,false,false,0,false,false,3,40,0,true,0,0,0,0,0,false,30,360,0,5,7,0,0,0,0,0,false,false,4,false,false,true,false,true,true,false,false,true,0,false,false
2827,"Jettatura",false,405,3,0,8,24,3594,3595,0,-1,0,0,false,100,false,false,false,false,false,false,true,false,false,0,false,false,2,8,0,true,0,0,0,0,0,false,35,360,0,5,7,0,0,0,0,0,false,false,47,false,false,true,false,true,true,false,false,true,0,false,false
2828,"Bestial Roar",false,405,3,0,8,24,3099,3100,0,-1,0,0,false,40,true,false,false,false,false,false,false,false,false,0,false,false,5,40,0,true,0,0,0,0,0,false,0,360,0,5,7,0,0,0,0,0,false,false,1,false,false,true,false,true,true,false,false,true,0,false,false
2829,"Mow",false,405,3,0,8,24,1525,2126,0,-1,0,0,false,22,true,false,false,false,false,false,false,false,false,0,false,false,3,22,0,true,0,0,0,0,0,false,0,360,0,6,7,0,0,0,0,0,false,false,5,false,false,true,false,true,true,false,false,true,0,false,false
2830,"Triclip",false,405,3,0,8,24,1526,2127,0,-1,0,0,false,6,true,false,false,false,false,false,false,false,false,0,false,false,4,6,12,true,0,0,0,0,0,false,0,360,0,1,7,0,0,0,0,0,false,false,2,false,false,true,false,true,true,false,false,true,0,false,false
2831,"Frightful Roar",false,405,3,0,8,24,1527,2128,0,-1,0,0,false,16,true,false,false,false,false,false,false,false,false,0,false,false,5,16,0,true,0,0,0,0,0,false,30,360,0,5,7,0,0,0,0,0,false,false,1,false,false,true,false,true,true,false,false,true,0,false,false
2832,"Mortal Ray",false,405,3,0,10,25,1528,2129,0,-1,0,0,false,40,true,false,false,false,false,false,false,false,false,0,false,false,3,40,0,true,0,0,0,0,0,false,30,360,0,5,7,0,0,0,0,0,false,false,4,false,false,true,false,true,true,false,false,true,0,false,false
2833,"Salivous Snap",false,405,3,0,0,0,1380,1875,0,-1,0,0,false,6,false,false,false,true,false,false,false,false,false,0,false,false,1,0,0,true,0,0,0,0,0,false,0,300,0,2,7,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2834,"Dragon Breath",false,405,3,0,8,24,1381,2098,0,-1,0,0,false,30,true,false,false,false,false,false,false,false,false,0,false,false,4,30,8,true,0,0,0,0,0,false,0,300,0,6,7,0,0,0,0,0,false,false,2,false,false,true,false,true,true,false,false,true,0,false,false
2835,"Granite Rain",false,405,3,0,8,24,1382,2099,0,-1,0,0,false,10,true,false,false,false,false,false,false,false,false,0,false,false,5,10,0,true,0,0,0,0,0,false,35,300,0,3,7,0,0,0,0,0,false,false,1,false,false,true,false,true,true,false,false,true,0,false,false
2836,"Toxic Vomit",false,405,3,0,8,24,1383,2100,0,-1,0,0,false,100,false,false,false,true,false,false,false,false,false,0,false,false,2,6,0,true,0,0,0,0,0,false,0,300,0,6,7,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2837,"Evil Eye",false,405,2,0,8,24,1552,2104,0,-1,0,0,false,40,true,false,false,false,false,false,false,false,false,0,false,false,3,40,0,true,0,0,0,0,0,false,30,300,0,5,7,0,0,0,0,0,false,false,5,false,false,true,false,true,true,false,false,true,0,false,false
2838,"",false,405,0,0,0,0,1699,1844,0,-1,0,0,false,40,true,false,false,false,false,false,false,false,false,0,false,false,5,40,0,true,0,0,0,0,0,false,0,300,0,5,3,0,0,0,0,0,false,false,0,false,false,false,false,false,false,false,false,true,0,false,false
2839,"Grand Sword",false,405,3,0,8,24,1270,2029,0,-1,0,0,false,25,true,false,false,false,false,false,false,false,false,0,false,false,3,25,0,true,0,0,0,0,0,false,30,0,0,1,7,0,0,0,0,0,false,false,5,false,false,true,false,true,true,false,false,true,0,false,false
2840,"Grand Strike",false,405,3,0,8,24,1271,1875,0,-1,0,0,false,40,true,false,false,false,false,false,false,false,false,0,false,false,4,40,4,true,0,0,0,0,0,false,30,600,0,5,7,0,0,0,0,0,false,false,2,false,false,true,false,true,true,false,false,true,0,false,false
2841,"System Evaluation",false,405,2,0,8,24,1272,1875,0,-1,0,0,false,3,true,false,false,false,false,false,false,false,false,0,false,false,1,0,0,false,0,0,0,0,0,false,30,0,0,0,0,0,0,0,0,0,true,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2842,"Magitek Ray",false,405,3,0,8,24,1273,2030,0,-1,0,0,false,100,false,false,false,false,false,false,true,false,false,0,false,false,2,6,0,true,0,0,0,0,0,false,0,600,0,5,1,0,0,0,0,0,false,false,1,false,false,true,false,true,true,false,false,true,0,false,false
2843,"Overheat",false,405,4,0,8,24,1274,1875,0,-1,0,0,false,3,true,false,false,false,false,false,false,false,false,0,false,false,1,0,0,false,0,0,0,0,0,false,30,600,0,0,0,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2844,"Exhaust",false,405,3,0,8,24,1275,2031,0,-1,0,0,false,40,true,false,false,false,false,false,false,false,false,0,false,false,4,40,8,true,0,0,0,0,0,false,0,600,0,5,3,0,0,0,0,0,false,false,2,false,false,true,false,true,true,false,false,true,0,false,false
2845,"Plasma Field",false,405,4,0,8,24,1276,1875,0,-1,0,0,false,3,true,false,false,false,false,false,false,false,false,0,false,false,1,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2846,"Plasma Field",false,405,4,0,8,24,1276,1875,0,-1,0,0,false,3,true,false,false,false,false,false,false,false,false,0,false,false,1,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2847,"Void Fire",false,405,2,1,34,13,473,1875,0,-1,0,0,false,100,false,false,false,true,false,false,false,false,false,0,false,false,1,0,0,true,0,0,0,0,0,false,15,80,0,5,1,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2848,"Void Fire II",false,405,2,1,34,13,479,1904,0,-1,0,0,false,100,false,false,false,true,false,false,false,false,false,0,false,false,2,5,0,true,0,0,0,0,0,false,28,360,0,5,1,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2849,"Void Fire III",false,405,2,1,34,13,483,1905,0,-1,0,0,false,100,false,false,false,false,false,false,true,false,false,0,false,false,2,5,0,true,0,0,0,0,0,false,30,360,0,5,1,0,0,0,0,0,false,false,1,false,false,true,false,true,true,false,false,true,0,false,false
2850,"Void Thunder",false,405,2,1,34,15,475,1875,0,-1,0,0,false,100,false,false,false,true,false,false,false,false,false,0,false,false,1,0,0,true,0,0,0,0,0,false,15,360,0,5,5,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2851,"Void Thunder II",false,405,2,1,34,15,480,1875,0,-1,0,0,false,100,false,false,false,true,false,false,false,false,false,0,false,false,1,0,0,true,0,0,0,0,0,false,40,360,0,5,5,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2852,"Void Thunder III",false,405,2,1,34,15,484,1875,0,-1,0,0,false,100,false,false,false,false,false,false,true,false,false,0,false,false,2,5,0,true,0,0,0,0,0,false,30,360,0,5,5,0,0,0,0,0,false,false,1,false,false,true,false,true,true,false,false,true,0,false,false
2853,"Void Blizzard",false,405,2,1,34,14,474,1875,0,-1,0,0,false,100,false,false,false,true,false,false,false,false,false,0,false,false,1,0,0,true,0,0,0,0,0,false,15,360,0,5,2,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2854,"Void Blizzard II",false,405,2,1,34,14,477,1902,0,-1,0,0,false,100,true,false,false,false,false,false,false,false,false,0,false,false,5,5,0,true,0,0,0,0,0,false,28,360,0,5,2,0,0,0,0,0,false,false,1,false,false,true,false,true,true,false,false,true,0,false,false
2855,"Void Blizzard III",false,405,2,1,34,14,486,1875,0,-1,0,0,false,100,false,false,false,false,false,false,true,false,false,0,false,false,2,5,0,true,0,0,0,0,0,false,30,360,0,5,2,0,0,0,0,0,false,false,1,false,false,true,false,true,true,false,false,true,0,false,false
2856,"Countershot",false,405,3,0,0,0,1222,1875,0,-1,0,0,false,0,false,false,false,false,false,false,false,false,false,0,false,false,0,0,0,false,0,0,0,0,0,false,0,0,0,5,7,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2857,"",false,405,0,0,0,0,1094,1875,0,-1,0,0,false,100,false,false,false,true,false,false,false,false,false,0,false,false,1,0,0,true,0,0,0,0,0,false,0,60,0,0,0,0,0,0,0,0,false,false,0,false,false,false,false,false,false,false,false,true,0,false,false
2858,"",false,405,0,0,0,0,1095,1875,0,-1,0,0,false,100,false,false,false,true,false,false,false,false,false,0,false,false,1,0,0,true,0,0,0,0,0,false,0,60,0,0,0,0,0,0,0,0,false,false,0,false,false,false,false,false,false,false,false,true,0,false,false
2859,"",false,405,0,0,0,0,1096,1875,0,-1,0,0,false,100,false,false,false,true,false,false,false,false,false,0,false,false,1,0,0,true,0,0,0,0,0,false,0,60,0,0,0,0,0,0,0,0,false,false,0,false,false,false,false,false,false,false,false,true,0,false,false
2860,"",false,405,0,0,0,0,1222,1875,0,-1,0,0,false,3,true,false,false,false,false,false,false,false,false,0,false,false,1,0,0,false,0,0,0,0,0,false,0,30,0,0,0,0,0,0,0,0,false,false,0,false,false,false,false,false,false,false,false,true,0,false,false
2861,"",false,405,4,0,0,0,1222,1875,0,-1,0,0,false,3,true,false,false,false,false,false,false,false,false,0,false,false,1,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,false,false,0,false,false,false,false,false,false,false,false,true,0,false,false
2862,"Void Blizzard III",false,405,2,1,34,14,486,1875,0,-1,0,0,false,100,false,false,false,false,false,false,true,false,false,0,false,false,2,5,0,true,0,0,0,0,0,false,0,10,0,5,2,0,0,0,0,0,false,false,1,false,false,true,false,true,true,false,false,true,0,false,false
2863,"",false,405,4,0,0,0,1222,1875,0,-1,0,0,false,3,true,false,false,false,false,false,false,false,false,0,false,false,1,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,false,false,0,false,false,false,false,false,false,false,false,true,0,false,false
2864,"Rook Autoturret",false,3026,4,0,0,0,3836,1875,0,31,0,40,false,25,false,false,false,false,false,false,true,false,false,0,true,true,7,1,0,false,0,0,46,1251,0,true,0,100,4,0,0,0,0,67235,96,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2865,"Bishop Autoturret",false,3027,4,0,0,0,3841,1875,0,31,0,50,false,25,false,false,false,false,false,false,true,false,false,0,true,true,7,1,0,false,0,0,46,1251,0,true,0,100,4,0,0,0,0,67240,96,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2866,"Split Shot",false,3001,3,0,30,29,3820,1875,0,31,0,1,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,50,68,0,0,false,0,25,58,-1,7,0,0,0,96,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2867,"Reload",false,3019,4,0,0,0,3821,1875,0,31,0,4,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,300,8,0,0,0,0,0,96,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2868,"Slug Shot",false,3002,3,0,30,29,3822,1875,0,31,0,2,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,50,68,0,0,false,0,25,58,-1,7,9,0,0,96,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2869,"Lead Shot",false,3006,3,0,30,29,3823,1875,0,-1,0,0,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,70,0,0,0,false,0,25,58,-1,7,0,0,0,0,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2870,"Spread Shot",false,3014,3,0,30,29,3824,4006,0,31,0,18,false,12,false,false,false,true,false,false,false,false,false,0,true,true,3,12,0,true,5,120,0,0,0,false,0,25,58,-1,7,0,0,0,96,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2871,"Grenado Shot",false,3015,3,0,30,29,3825,4007,0,-1,0,0,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,2,5,0,true,5,160,0,0,0,false,0,25,58,-1,7,0,0,0,0,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2872,"Hot Shot",false,3003,3,0,30,29,3826,1875,0,31,0,30,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,0,false,0,25,58,-1,7,0,0,67233,96,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2873,"Clean Shot",false,3004,3,0,30,29,3827,1875,0,31,0,35,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,50,68,0,0,false,0,25,58,-1,7,10,0,67234,96,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2874,"Gauss Round",false,3005,4,0,0,0,3828,1875,0,31,0,54,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,false,0,150,15,-1,7,0,0,67243,96,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2875,"Heartbreak",false,3007,4,0,0,0,3829,1875,0,31,0,6,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,6,0,0,true,0,300,5,-1,7,0,0,0,96,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2876,"Reassemble",false,3022,4,0,0,0,3830,1875,0,31,0,10,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,600,18,0,0,0,0,0,96,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
2877,"Leg Graze",false,3013,4,0,0,0,3831,1875,0,-1,0,0,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,200,15,-1,7,0,0,0,0,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
